GB_Yield_Total,GK_Yield_Total,Rasio_GK_GB,GB_Kadar_Air_Mean,Cetak_Yield_Kg,Cetak_Pct_Teoritis,Kemas_Pct_Teoritis,Total_Waste_Kg,Cetak_Durasi_Hari,Kemas_Durasi_Hari,Bulan_Produksi,Defect_Overall,Material_Description,Cluster,Cluster_Label,PCA1,PCA2
425.72,908.38,2.133749882551912,5.423333333333333,712.0,2.8253968253968256,2.7892,0.0,0.0,0.0,6.0,0,APC PLUS TABLET/20E NF NG,1,🟢 Low Risk,7.041362126553766,19.995464432421276
429.17,933.27,2.1745928186965537,5.516666666666666,753.0,2.988095238095238,2.9240857142857144,0.0,2.0,1.0,6.0,0,APC PLUS TABLET/20E NF NG,1,🟢 Low Risk,7.724705136997004,21.49091321673255
429.63,774.1099999999999,1.8018062053394777,5.5,751.0,0.93875,0.9932190476190476,0.0,0.0,0.0,6.0,0,APC PLUS TABLET/20E NF NG,0,🟡 Medium Risk,1.002378346232588,0.4452449852806792
432.82,777.8299999999999,1.7971212051199112,5.473333333333334,742.0,0.9275,0.9817809523809524,0.0,1.0,1.0,6.0,0,APC PLUS TABLET/20E NF NG,0,🟡 Medium Risk,0.9236295903743548,0.34398967292341287
436.24,779.27,1.7863332110764716,5.3133333333333335,758.0,0.9475,1.0027142857142857,0.0,0.0,0.0,6.0,0,APC PLUS TABLET/20E NF NG,0,🟡 Medium Risk,1.0629145507932563,0.5060377073887532
428.0,772.5699999999999,1.805070093457944,5.510000000000001,733.0,0.91625,0.968352380952381,0.0,1.0,1.0,6.0,0,APC PLUS TABLET/20E NF NG,0,🟡 Medium Risk,0.8454065016341404,0.24626146154188225
434.0,778.14,1.7929493087557604,5.493333333333333,745.0,0.93125,0.985895238095238,0.0,0.0,0.0,6.0,0,APC PLUS TABLET/20E NF NG,0,🟡 Medium Risk,0.9565711667073185,0.3701399298706869
424.11,768.97,1.8131381009643728,5.436666666666667,745.0,0.93125,0.9955428571428572,0.0,0.0,1.0,6.0,0,APC PLUS TABLET/20E NF NG,0,🟡 Medium Risk,0.9657452186799561,0.4367353348684696
428.9,773.3199999999999,1.8030310095593376,5.406666666666666,744.0,0.93,0.9810761904761904,0.0,0.0,0.0,6.0,0,APC PLUS TABLET/20E NF NG,0,🟡 Medium Risk,0.9474994524803435,0.3504188799647606
435.4,780.9000000000001,1.7935231970601748,5.353333333333333,746.0,0.9325,0.9849238095238096,0.0,1.0,0.0,6.0,0,APC PLUS TABLET/20E NF NG,0,🟡 Medium Risk,0.9692259922034682,0.37129422703707704
435.7,780.6800000000001,1.7917833371585956,5.473333333333334,749.0,0.93625,0.9623904761904762,0.0,0.0,0.0,6.0,0,APC PLUS TABLET/20E NF NG,0,🟡 Medium Risk,0.9505950754278276,0.26792723841636634
427.2,772.04,1.8072097378277152,5.3566666666666665,743.0,0.92875,0.9848761904761903,0.0,1.0,0.0,6.0,0,APC PLUS TABLET/20E NF NG,0,🟡 Medium Risk,0.9456574158846222,0.37552030993019075
431.4,776.56,1.8000927213722764,5.476666666666667,747.0,0.93375,0.9884666666666668,0.0,0.0,0.0,6.0,0,APC PLUS TABLET/20E NF NG,0,🟡 Medium Risk,0.9766796609883319,0.39763332199880547
429.3,775.04,1.805357558816678,5.213333333333334,745.0,0.93125,0.9862571428571428,0.0,1.0,1.0,6.0,0,APC PLUS TABLET/20E NF NG,0,🟡 Medium Risk,0.9632942004108997,0.3809637612889948
431.14,776.56,1.8011782715591222,5.4366666666666665,734.0,0.9175,0.969904761904762,0.0,0.0,0.0,7.0,0,APC PLUS TABLET/20E NF NG,0,🟡 Medium Risk,0.8735018726665712,0.3238597460008728
431.65,776.98,1.8000231669176416,5.5,729.0,0.91125,0.8772190476190476,0.0,1.0,0.0,7.0,1,APC PLUS TABLET/20E NF NG,0,🟡 Medium Risk,0.6975240255165062,-0.15104243086566815
433.33,778.74,1.7971061315856276,5.3133333333333335,735.0,0.91875,0.971495238095238,0.0,0.0,0.0,7.0,0,APC PLUS TABLET/20E NF NG,0,🟡 Medium Risk,0.8887244872943063,0.32808086974321043
423.6,767.5899999999999,1.8120632672332384,5.286666666666667,729.0,0.91125,0.9618285714285716,0.0,1.0,1.0,7.0,0,APC PLUS TABLET/20E NF NG,0,🟡 Medium Risk,0.8173180467502457,0.2797646474722636
466.4,330.0,0.7075471698113208,4.656666666666666,776.0,0.97,0.968048,0.0,5.0,1.0,12.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9594423847294004,0.9932953588005655
460.2,330.1,0.7172968274663191,4.566666666666666,773.0,0.96625,0.966392,0.0,1.0,4.0,12.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9689108123027844,0.9388993240351251
466.1,330.2,0.7084316670242436,4.613333333333333,781.0,0.97625,0.97478,0.0,0.0,1.0,12.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8888831467345865,1.0064386022590803
464.2,330.2,0.7113313227057303,4.683333333333333,782.0,0.9775,0.9763,0.0,1.0,1.0,12.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8874609730598186,1.0329480239104285
465.4,330.2,0.7094972067039106,4.56,783.0,0.97875,0.971172,0.0,0.0,1.0,12.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8788889100740481,0.9978603587345163
464.6,330.0,0.7102884201463624,4.6066666666666665,780.0,0.975,0.975364,0.0,1.0,0.0,1.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8633921217067876,0.12347153224347171
465.0,329.9,0.7094623655913977,4.663333333333333,780.0,0.975,0.97358,0.0,1.0,3.0,1.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8944387406653147,0.10976088882784826
